pCongFixed	cloudyNode	cloudRadius	rainVolDiscCar	rainVolDiscBus	lanes4Bus	Result
0	2	5	0.9	0	0	63.1666666667
0	2	5	0.9	0	1	63.1666666667
0	2	5	0.9	0.3	0	63.1666666667
0	2	5	0.9	0.3	1	63.1666666667
0	2	5	0.9	0.6	0	63.1666666667
0	2	5	0.9	0.6	1	63.1666666667
0	2	5	0.9	0.9	0	63.1666666667
0	2	5	0.9	0.9	1	63.1666666667
0	2	10	0	0	0	66.1666666667
0	2	10	0	0	1	66.1666666667
0	2	10	0	0.3	0	66.1666666667
0	2	10	0	0.3	1	66.1666666667
0	2	10	0	0.6	0	66.1666666667
0	2	10	0	0.6	1	66.1666666667
0	2	10	0	0.9	0	65.5833333333
0	2	10	0	0.9	1	65.5833333333
0	2	10	0.3	0	0	66.1666666667
0	2	10	0.3	0	1	66.1666666667
0	2	10	0.3	0.3	0	66.1666666667
0	2	10	0.3	0.3	1	66.1666666667
0	2	10	0.3	0.6	0	66.1666666667
0	2	10	0.3	0.6	1	66.1666666667
0	2	10	0.3	0.9	0	65.5833333333
0	2	10	0.3	0.9	1	65.5833333333
0	2	10	0.6	0	0	66.1666666667
0	2	10	0.6	0	1	66.1666666667
0	2	10	0.6	0.3	0	66.1666666667
0	2	10	0.6	0.3	1	66.1666666667
0	2	10	0.6	0.6	0	66.1666666667
0	2	10	0.6	0.6	1	66.1666666667
0	2	10	0.6	0.9	0	65.5833333333
0	2	10	0.6	0.9	1	65.5833333333
0	2	10	0.9	0	0	63.8333333333
0	2	10	0.9	0	1	63.8333333333
0	2	10	0.9	0.3	0	63.8333333333
0	2	10	0.9	0.3	1	63.8333333333
0	2	10	0.9	0.6	0	63.8333333333
0	2	10	0.9	0.6	1	63.8333333333
0	2	10	0.9	0.9	0	63.8333333333
0	2	10	0.9	0.9	1	63.8333333333
0	2	15	0	0	0	66.1666666667
0	2	15	0	0	1	66.1666666667
0	2	15	0	0.3	0	66.1666666667
0	2	15	0	0.3	1	66.1666666667
0	2	15	0	0.6	0	66.1666666667
0	2	15	0	0.6	1	66.1666666667
0	2	15	0	0.9	0	65.5833333333
0	2	15	0	0.9	1	65.5833333333
0	2	15	0.3	0	0	66.1666666667
0	2	15	0.3	0	1	66.1666666667
0	2	15	0.3	0.3	0	66.1666666667
0	2	15	0.3	0.3	1	66.1666666667
0	2	15	0.3	0.6	0	66.1666666667
0	2	15	0.3	0.6	1	66.1666666667
0	2	15	0.3	0.9	0	65.5833333333
0	2	15	0.3	0.9	1	65.5833333333
0	2	15	0.6	0	0	66.1666666667
0	2	15	0.6	0	1	66.1666666667
0	2	15	0.6	0.3	0	66.1666666667
0	2	15	0.6	0.3	1	66.1666666667
0	2	15	0.6	0.6	0	66.1666666667
0	2	15	0.6	0.6	1	66.1666666667
0	2	15	0.6	0.9	0	65.5833333333
0	2	15	0.6	0.9	1	65.5833333333
0	2	15	0.9	0	0	63.8333333333
0	2	15	0.9	0	1	63.8333333333
0	2	15	0.9	0.3	0	63.8333333333
0	2	15	0.9	0.3	1	63.8333333333
0	2	15	0.9	0.6	0	63.8333333333
0	2	15	0.9	0.6	1	63.8333333333
0	2	15	0.9	0.9	0	63.8333333333
0	2	15	0.9	0.9	1	63.8333333333
0	2	20	0	0	0	111.166666667
0	2	20	0	0	1	111.166666667
0	2	20	0	0.3	0	101.25
0	2	20	0	0.3	1	101.25
0	2	20	0	0.6	0	76.25
0	2	20	0	0.6	1	76.25
0	2	20	0	0.9	0	67.9166666667
0	2	20	0	0.9	1	67.9166666667
0	2	20	0.3	0	0	91.1666666667
0	2	20	0.3	0	1	91.1666666667
0	2	20	0.3	0.3	0	91.1666666667
0	2	20	0.3	0.3	1	91.1666666667
0	2	20	0.3	0.6	0	76.25
0	2	20	0.3	0.6	1	76.25
0	2	20	0.3	0.9	0	67.9166666667
0	2	20	0.3	0.9	1	67.9166666667
0	2	20	0.6	0	0	71.1666666667
0	2	20	0.6	0	1	71.1666666667
0	2	20	0.6	0.3	0	71.1666666667
0	2	20	0.6	0.3	1	71.1666666667
0	2	20	0.6	0.6	0	71.1666666667
0	2	20	0.6	0.6	1	71.1666666667
0	2	20	0.6	0.9	0	67.9166666667
0	2	20	0.6	0.9	1	67.9166666667
0	2	20	0.9	0	0	64.5
0	2	20	0.9	0	1	64.5
0	2	20	0.9	0.3	0	64.5
0	2	20	0.9	0.3	1	64.5
0	2	20	0.9	0.6	0	64.5
0	2	20	0.9	0.6	1	64.5
0	2	20	0.9	0.9	0	64.5
0	2	20	0.9	0.9	1	64.5
0	2	25	0	0	0	111.166666667
0	2	25	0	0	1	111.166666667
0	2	25	0	0.3	0	101.25
0	2	25	0	0.3	1	101.25
0	2	25	0	0.6	0	76.25
0	2	25	0	0.6	1	76.25
0	2	25	0	0.9	0	67.9166666667
0	2	25	0	0.9	1	67.9166666667
0	2	25	0.3	0	0	91.1666666667
0	2	25	0.3	0	1	91.1666666667
0	2	25	0.3	0.3	0	91.1666666667
0	2	25	0.3	0.3	1	91.1666666667
0	2	25	0.3	0.6	0	76.25
0	2	25	0.3	0.6	1	76.25
0	2	25	0.3	0.9	0	67.9166666667
0	2	25	0.3	0.9	1	67.9166666667
0	2	25	0.6	0	0	71.1666666667
0	2	25	0.6	0	1	71.1666666667
0	2	25	0.6	0.3	0	71.1666666667
0	2	25	0.6	0.3	1	71.1666666667
0	2	25	0.6	0.6	0	71.1666666667
0	2	25	0.6	0.6	1	71.1666666667
0	2	25	0.6	0.9	0	67.9166666667
0	2	25	0.6	0.9	1	67.9166666667
0	2	25	0.9	0	0	64.5
0	2	25	0.9	0	1	64.5
0	2	25	0.9	0.3	0	64.5
0	2	25	0.9	0.3	1	64.5
0	2	25	0.9	0.6	0	64.5
0	2	25	0.9	0.6	1	64.5
0	2	25	0.9	0.9	0	64.5
0	2	25	0.9	0.9	1	64.5
0	2	30	0	0	0	111.166666667
0	2	30	0	0	1	111.166666667
0	2	30	0	0.3	0	101.25
0	2	30	0	0.3	1	101.25
0	2	30	0	0.6	0	76.25
0	2	30	0	0.6	1	76.25
0	2	30	0	0.9	0	67.9166666667
0	2	30	0	0.9	1	67.9166666667
0	2	30	0.3	0	0	91.1666666667
0	2	30	0.3	0	1	91.1666666667
0	2	30	0.3	0.3	0	91.1666666667
0	2	30	0.3	0.3	1	91.1666666667
0	2	30	0.3	0.6	0	76.25
0	2	30	0.3	0.6	1	76.25
0	2	30	0.3	0.9	0	67.9166666667
0	2	30	0.3	0.9	1	67.9166666667
0	2	30	0.6	0	0	71.1666666667
0	2	30	0.6	0	1	71.1666666667
0	2	30	0.6	0.3	0	71.1666666667
0	2	30	0.6	0.3	1	71.1666666667
0	2	30	0.6	0.6	0	71.1666666667
0	2	30	0.6	0.6	1	71.1666666667
0	2	30	0.6	0.9	0	67.9166666667
0	2	30	0.6	0.9	1	67.9166666667
0	2	30	0.9	0	0	64.5
0	2	30	0.9	0	1	64.5
0	2	30	0.9	0.3	0	64.5
0	2	30	0.9	0.3	1	64.5
0	2	30	0.9	0.6	0	64.5
0	2	30	0.9	0.6	1	64.5
0	2	30	0.9	0.9	0	64.5
0	2	30	0.9	0.9	1	64.5
0	3	5	0	0	0	63.1666666667
0	3	5	0	0	1	63.1666666667
0	3	5	0	0.3	0	63.1666666667
0	3	5	0	0.3	1	63.1666666667
0	3	5	0	0.6	0	63.1666666667
0	3	5	0	0.6	1	63.1666666667
0	3	5	0	0.9	0	63.1666666667
0	3	5	0	0.9	1	63.1666666667
0	3	5	0.3	0	0	63.1666666667
0	3	5	0.3	0	1	63.1666666667
0	3	5	0.3	0.3	0	63.1666666667
0	3	5	0.3	0.3	1	63.1666666667
0	3	5	0.3	0.6	0	63.1666666667
0	3	5	0.3	0.6	1	63.1666666667
0	3	5	0.3	0.9	0	63.1666666667
0	3	5	0.3	0.9	1	63.1666666667
0	3	5	0.6	0	0	63.1666666667
0	3	5	0.6	0	1	63.1666666667
0	3	5	0.6	0.3	0	63.1666666667
0	3	5	0.6	0.3	1	63.1666666667
0	3	5	0.6	0.6	0	63.1666666667
0	3	5	0.6	0.6	1	63.1666666667
0	3	5	0.6	0.9	0	63.1666666667
0	3	5	0.6	0.9	1	63.1666666667
0	3	5	0.9	0	0	63.1666666667
0	3	5	0.9	0	1	63.1666666667
0	3	5	0.9	0.3	0	63.1666666667
0	3	5	0.9	0.3	1	63.1666666667
0	3	5	0.9	0.6	0	63.1666666667
0	3	5	0.9	0.6	1	63.1666666667
0	3	5	0.9	0.9	0	63.1666666667
0	3	5	0.9	0.9	1	63.1666666667
0	3	10	0	0	0	63.1666666667
0	3	10	0	0	1	63.1666666667
0	3	10	0	0.3	0	63.1666666667
0	3	10	0	0.3	1	63.1666666667
0	3	10	0	0.6	0	63.1666666667
0	3	10	0	0.6	1	63.1666666667
0	3	10	0	0.9	0	63.1666666667
0	3	10	0	0.9	1	63.1666666667
0	3	10	0.3	0	0	63.1666666667
0	3	10	0.3	0	1	63.1666666667
0	3	10	0.3	0.3	0	63.1666666667
0	3	10	0.3	0.3	1	63.1666666667
0	3	10	0.3	0.6	0	63.1666666667
0	3	10	0.3	0.6	1	63.1666666667
0	3	10	0.3	0.9	0	63.1666666667
0	3	10	0.3	0.9	1	63.1666666667
0	3	10	0.6	0	0	63.1666666667
0	3	10	0.6	0	1	63.1666666667
0	3	10	0.6	0.3	0	63.1666666667
0	3	10	0.6	0.3	1	63.1666666667
0	3	10	0.6	0.6	0	63.1666666667
0	3	10	0.6	0.6	1	63.1666666667
0	3	10	0.6	0.9	0	63.1666666667
0	3	10	0.6	0.9	1	63.1666666667
0	3	10	0.9	0	0	63.1666666667
0	3	10	0.9	0	1	63.1666666667
0	3	10	0.9	0.3	0	63.1666666667
0	3	10	0.9	0.3	1	63.1666666667
0	3	10	0.9	0.6	0	63.1666666667
0	3	10	0.9	0.6	1	63.1666666667
0	3	10	0.9	0.9	0	63.1666666667
0	3	10	0.9	0.9	1	63.1666666667
0	3	15	0	0	0	63.1666666667
0	3	15	0	0	1	63.1666666667
0	3	15	0	0.3	0	63.1666666667
0	3	15	0	0.3	1	63.1666666667
0	3	15	0	0.6	0	63.1666666667
0	3	15	0	0.6	1	63.1666666667
0	3	15	0	0.9	0	63.1666666667
0	3	15	0	0.9	1	63.1666666667
0	3	15	0.3	0	0	63.1666666667
0	3	15	0.3	0	1	63.1666666667
0	3	15	0.3	0.3	0	63.1666666667
0	3	15	0.3	0.3	1	63.1666666667
0	3	15	0.3	0.6	0	63.1666666667
0	3	15	0.3	0.6	1	63.1666666667
0	3	15	0.3	0.9	0	63.1666666667
0	3	15	0.3	0.9	1	63.1666666667
0	3	15	0.6	0	0	63.1666666667
0	3	15	0.6	0	1	63.1666666667
0	3	15	0.6	0.3	0	63.1666666667
0	3	15	0.6	0.3	1	63.1666666667
0	3	15	0.6	0.6	0	63.1666666667
0	3	15	0.6	0.6	1	63.1666666667
0	3	15	0.6	0.9	0	63.1666666667
0	3	15	0.6	0.9	1	63.1666666667
0	3	15	0.9	0	0	63.1666666667
0	3	15	0.9	0	1	63.1666666667
0	3	15	0.9	0.3	0	63.1666666667
0	3	15	0.9	0.3	1	63.1666666667
0	3	15	0.9	0.6	0	63.1666666667
0	3	15	0.9	0.6	1	63.1666666667
0	3	15	0.9	0.9	0	63.1666666667
0	3	15	0.9	0.9	1	63.1666666667
0	3	20	0	0	0	63.1666666667
0	3	20	0	0	1	63.1666666667
0	3	20	0	0.3	0	63.1666666667
0	3	20	0	0.3	1	63.1666666667
0	3	20	0	0.6	0	63.1666666667
0	3	20	0	0.6	1	63.1666666667
0	3	20	0	0.9	0	63.1666666667
0	3	20	0	0.9	1	63.1666666667
0	3	20	0.3	0	0	63.1666666667
0	3	20	0.3	0	1	63.1666666667
0	3	20	0.3	0.3	0	63.1666666667
0	3	20	0.3	0.3	1	63.1666666667
0	3	20	0.3	0.6	0	63.1666666667
0	3	20	0.3	0.6	1	63.1666666667
0	3	20	0.3	0.9	0	63.1666666667
0	3	20	0.3	0.9	1	63.1666666667
0	3	20	0.6	0	0	63.1666666667
0	3	20	0.6	0	1	63.1666666667
0	3	20	0.6	0.3	0	63.1666666667
0	3	20	0.6	0.3	1	63.1666666667
0	3	20	0.6	0.6	0	63.1666666667
0	3	20	0.6	0.6	1	63.1666666667
0	3	20	0.6	0.9	0	63.1666666667
0	3	20	0.6	0.9	1	63.1666666667
0	3	20	0.9	0	0	63.1666666667
0	3	20	0.9	0	1	63.1666666667
0	3	20	0.9	0.3	0	63.1666666667
0	3	20	0.9	0.3	1	63.1666666667
0	3	20	0.9	0.6	0	63.1666666667
0	3	20	0.9	0.6	1	63.1666666667
0	3	20	0.9	0.9	0	63.1666666667
0	3	20	0.9	0.9	1	63.1666666667
0	3	25	0	0	0	75.1666666667
0	3	25	0	0	1	75.1666666667
0	3	25	0	0.3	0	75.1666666667
0	3	25	0	0.3	1	75.1666666667
0	3	25	0	0.6	0	69.75
0	3	25	0	0.6	1	69.75
0	3	25	0	0.9	0	65.5833333333
0	3	25	0	0.9	1	65.5833333333
0	3	25	0.3	0	0	75.1666666667
0	3	25	0.3	0	1	75.1666666667
0	3	25	0.3	0.3	0	75.1666666667
0	3	25	0.3	0.3	1	75.1666666667
0	3	25	0.3	0.6	0	69.75
0	3	25	0.3	0.6	1	69.75
0	3	25	0.3	0.9	0	65.5833333333
0	3	25	0.3	0.9	1	65.5833333333
0	3	25	0.6	0	0	67.1666666667
0	3	25	0.6	0	1	67.1666666667
0	3	25	0.6	0.3	0	67.1666666667
0	3	25	0.6	0.3	1	67.1666666667
0	3	25	0.6	0.6	0	67.1666666667
0	3	25	0.6	0.6	1	67.1666666667
0	3	25	0.6	0.9	0	65.5833333333
0	3	25	0.6	0.9	1	65.5833333333
0	3	25	0.9	0	0	63.8333333333
0	3	25	0.9	0	1	63.8333333333
0	3	25	0.9	0.3	0	63.8333333333
0	3	25	0.9	0.3	1	63.8333333333
0	3	25	0.9	0.6	0	63.8333333333
0	3	25	0.9	0.6	1	63.8333333333
0	3	25	0.9	0.9	0	63.8333333333
0	3	25	0.9	0.9	1	63.8333333333
0	3	30	0	0	0	102.166666667
0	3	30	0	0	1	102.166666667
0	3	30	0	0.3	0	97.25
0	3	30	0	0.3	1	97.25
0	3	30	0	0.6	0	76.25
0	3	30	0	0.6	1	76.25
0	3	30	0	0.9	0	67.9166666667
0	3	30	0	0.9	1	67.9166666667
0	3	30	0.3	0	0	91.1666666667
0	3	30	0.3	0	1	91.1666666667
0	3	30	0.3	0.3	0	91.1666666667
0	3	30	0.3	0.3	1	91.1666666667
0	3	30	0.3	0.6	0	76.25
0	3	30	0.3	0.6	1	76.25
0	3	30	0.3	0.9	0	67.9166666667
0	3	30	0.3	0.9	1	67.9166666667
0	3	30	0.6	0	0	71.1666666667
0	3	30	0.6	0	1	71.1666666667
0	3	30	0.6	0.3	0	71.1666666667
0	3	30	0.6	0.3	1	71.1666666667
0	3	30	0.6	0.6	0	71.1666666667
0	3	30	0.6	0.6	1	71.1666666667
0	3	30	0.6	0.9	0	67.9166666667
0	3	30	0.6	0.9	1	67.9166666667
0	3	30	0.9	0	0	64.5
0	3	30	0.9	0	1	64.5
0	3	30	0.9	0.3	0	64.5
0	3	30	0.9	0.3	1	64.5
0	3	30	0.9	0.6	0	64.5
0	3	30	0.9	0.6	1	64.5
0	3	30	0.9	0.9	0	64.5
0	3	30	0.9	0.9	1	64.5
0	4	5	0	0	0	63.1666666667
0	4	5	0	0	1	63.1666666667
0	4	5	0	0.3	0	63.1666666667
0	4	5	0	0.3	1	63.1666666667
0	4	5	0	0.6	0	63.1666666667
0	4	5	0	0.6	1	63.1666666667
0	4	5	0	0.9	0	63.1666666667
0	4	5	0	0.9	1	63.1666666667
0	4	5	0.3	0	0	63.1666666667
0	4	5	0.3	0	1	63.1666666667
0	4	5	0.3	0.3	0	63.1666666667
0	4	5	0.3	0.3	1	63.1666666667
0	4	5	0.3	0.6	0	63.1666666667
0	4	5	0.3	0.6	1	63.1666666667
0	4	5	0.3	0.9	0	63.1666666667
0	4	5	0.3	0.9	1	63.1666666667
0	4	5	0.6	0	0	63.1666666667
0	4	5	0.6	0	1	63.1666666667
0	4	5	0.6	0.3	0	63.1666666667
0	4	5	0.6	0.3	1	63.1666666667
0	4	5	0.6	0.6	0	63.1666666667
0	4	5	0.6	0.6	1	63.1666666667
0	4	5	0.6	0.9	0	63.1666666667
0	4	5	0.6	0.9	1	63.1666666667
0	4	5	0.9	0	0	63.1666666667
0	4	5	0.9	0	1	63.1666666667
0	4	5	0.9	0.3	0	63.1666666667
0	4	5	0.9	0.3	1	63.1666666667
0	4	5	0.9	0.6	0	63.1666666667
0	4	5	0.9	0.6	1	63.1666666667
0	4	5	0.9	0.9	0	63.1666666667
0	4	5	0.9	0.9	1	63.1666666667
0	4	10	0	0	0	66.1666666667
0	4	10	0	0	1	66.1666666667
0	4	10	0	0.3	0	66.1666666667
0	4	10	0	0.3	1	66.1666666667
0	4	10	0	0.6	0	66.1666666667
0	4	10	0	0.6	1	66.1666666667
0	4	10	0	0.9	0	65.5833333333
0	4	10	0	0.9	1	65.5833333333
0	4	10	0.3	0	0	66.1666666667
0	4	10	0.3	0	1	66.1666666667
0	4	10	0.3	0.3	0	66.1666666667
0	4	10	0.3	0.3	1	66.1666666667
0	4	10	0.3	0.6	0	66.1666666667
0	4	10	0.3	0.6	1	66.1666666667
0	4	10	0.3	0.9	0	65.5833333333
0	4	10	0.3	0.9	1	65.5833333333
0	4	10	0.6	0	0	66.1666666667
0	4	10	0.6	0	1	66.1666666667
0	4	10	0.6	0.3	0	66.1666666667
0	4	10	0.6	0.3	1	66.1666666667
0	4	10	0.6	0.6	0	66.1666666667
0	4	10	0.6	0.6	1	66.1666666667
0	4	10	0.6	0.9	0	65.5833333333
0	4	10	0.6	0.9	1	65.5833333333
0	4	10	0.9	0	0	63.8333333333
0	4	10	0.9	0	1	63.8333333333
0	4	10	0.9	0.3	0	63.8333333333
0	4	10	0.9	0.3	1	63.8333333333
0	4	10	0.9	0.6	0	63.8333333333
0	4	10	0.9	0.6	1	63.8333333333
0	4	10	0.9	0.9	0	63.8333333333
0	4	10	0.9	0.9	1	63.8333333333
0	4	15	0	0	0	66.1666666667
0	4	15	0	0	1	66.1666666667
0	4	15	0	0.3	0	66.1666666667
