incidentNode	incidentType	lanes4Bus	pCongFixed	Result
7	5	1	0.9	71.4166666667
7	5	1	1	71.4166666667
8	1	0	0	63.1666666667
8	1	0	0.1	66.8333333333
8	1	0	0.2	71.4166666667
8	1	0	0.3	77.3095238095
8	1	0	0.4	85.1666666667
8	1	0	0.5	96.1666666667
8	1	0	0.6	112.666666667
8	1	0	0.7	140.166666667
8	1	0	0.8	195.083333333
8	1	0	0.9	195.083333333
8	1	0	1	195.083333333
8	1	1	0	63.1666666667
8	1	1	0.1	66.8333333333
8	1	1	0.2	71.4166666667
8	1	1	0.3	71.4166666667
8	1	1	0.4	71.4166666667
8	1	1	0.5	71.4166666667
8	1	1	0.6	71.4166666667
8	1	1	0.7	71.4166666667
8	1	1	0.8	71.4166666667
8	1	1	0.9	71.4166666667
8	1	1	1	71.4166666667
8	2	0	0	63.1666666667
8	2	0	0.1	66.8333333333
8	2	0	0.2	71.4166666667
8	2	0	0.3	77.3095238095
8	2	0	0.4	85.1666666667
8	2	0	0.5	96.1666666667
8	2	0	0.6	112.666666667
8	2	0	0.7	140.166666667
8	2	0	0.8	195.083333333
8	2	0	0.9	195.083333333
8	2	0	1	195.083333333
8	2	1	0	63.1666666667
8	2	1	0.1	66.8333333333
8	2	1	0.2	71.4166666667
8	2	1	0.3	71.4166666667
8	2	1	0.4	71.4166666667
8	2	1	0.5	71.4166666667
8	2	1	0.6	71.4166666667
8	2	1	0.7	71.4166666667
8	2	1	0.8	71.4166666667
8	2	1	0.9	71.4166666667
8	2	1	1	71.4166666667
8	3	0	0	63.1666666667
8	3	0	0.1	66.8333333333
8	3	0	0.2	71.4166666667
8	3	0	0.3	77.3095238095
8	3	0	0.4	85.1666666667
8	3	0	0.5	96.1666666667
8	3	0	0.6	112.666666667
8	3	0	0.7	140.166666667
8	3	0	0.8	195.083333333
8	3	0	0.9	195.083333333
8	3	0	1	195.083333333
8	3	1	0	63.1666666667
8	3	1	0.1	66.8333333333
8	3	1	0.2	71.4166666667
8	3	1	0.3	71.4166666667
8	3	1	0.4	71.4166666667
8	3	1	0.5	71.4166666667
8	3	1	0.6	71.4166666667
8	3	1	0.7	71.4166666667
8	3	1	0.8	71.4166666667
8	3	1	0.9	71.4166666667
8	3	1	1	71.4166666667
8	4	0	0	63.1666666667
8	4	0	0.1	66.8333333333
8	4	0	0.2	71.4166666667
8	4	0	0.3	77.3095238095
8	4	0	0.4	85.1666666667
8	4	0	0.5	96.1666666667
8	4	0	0.6	112.666666667
8	4	0	0.7	140.166666667
8	4	0	0.8	195.083333333
8	4	0	0.9	195.083333333
