delayNode	delayInMin	p_car_delay	p_bus_delay	p_train_delay	p_cycle_delay	pCongFixed	Result
1	5	1	0.5	0	1	0	63.1666666667
1	5	1	0.5	0	1	0.3	77.3095238095
1	5	1	0.5	0	1	0.6	112.666666667
1	5	1	0.5	0	1	0.9	195.083333333
1	5	1	0.5	0.5	0	0	63.1666666667
1	5	1	0.5	0.5	0	0.3	77.3095238095
1	5	1	0.5	0.5	0	0.6	112.666666667
1	5	1	0.5	0.5	0	0.9	195.083333333
1	5	1	0.5	0.5	0.5	0	63.1666666667
1	5	1	0.5	0.5	0.5	0.3	77.3095238095
1	5	1	0.5	0.5	0.5	0.6	112.666666667
1	5	1	0.5	0.5	0.5	0.9	195.083333333
1	5	1	0.5	0.5	1	0	63.1666666667
1	5	1	0.5	0.5	1	0.3	77.3095238095
1	5	1	0.5	0.5	1	0.6	112.666666667
1	5	1	0.5	0.5	1	0.9	195.083333333
1	5	1	0.5	1	0	0	63.1666666667
1	5	1	0.5	1	0	0.3	77.3095238095
1	5	1	0.5	1	0	0.6	112.666666667
1	5	1	0.5	1	0	0.9	195.083333333
1	5	1	0.5	1	0.5	0	63.1666666667
1	5	1	0.5	1	0.5	0.3	77.3095238095
1	5	1	0.5	1	0.5	0.6	112.666666667
1	5	1	0.5	1	0.5	0.9	195.083333333
1	5	1	0.5	1	1	0	63.1666666667
1	5	1	0.5	1	1	0.3	77.3095238095
1	5	1	0.5	1	1	0.6	112.666666667
1	5	1	0.5	1	1	0.9	195.083333333
1	5	1	1	0	0	0	63.1666666667
1	5	1	1	0	0	0.3	77.3095238095
1	5	1	1	0	0	0.6	112.666666667
1	5	1	1	0	0	0.9	195.083333333
1	5	1	1	0	0.5	0	63.1666666667
1	5	1	1	0	0.5	0.3	77.3095238095
1	5	1	1	0	0.5	0.6	112.666666667
1	5	1	1	0	0.5	0.9	195.083333333
1	5	1	1	0	1	0	63.1666666667
1	5	1	1	0	1	0.3	77.3095238095
1	5	1	1	0	1	0.6	112.666666667
1	5	1	1	0	1	0.9	195.083333333
1	5	1	1	0.5	0	0	63.1666666667
1	5	1	1	0.5	0	0.3	77.3095238095
1	5	1	1	0.5	0	0.6	112.666666667
1	5	1	1	0.5	0	0.9	195.083333333
1	5	1	1	0.5	0.5	0	63.1666666667
1	5	1	1	0.5	0.5	0.3	77.3095238095
1	5	1	1	0.5	0.5	0.6	112.666666667
1	5	1	1	0.5	0.5	0.9	195.083333333
1	5	1	1	0.5	1	0	63.1666666667
1	5	1	1	0.5	1	0.3	77.3095238095
1	5	1	1	0.5	1	0.6	112.666666667
1	5	1	1	0.5	1	0.9	195.083333333
1	5	1	1	1	0	0	63.1666666667
1	5	1	1	1	0	0.3	77.3095238095
1	5	1	1	1	0	0.6	112.666666667
1	5	1	1	1	0	0.9	195.083333333
1	5	1	1	1	0.5	0	63.1666666667
1	5	1	1	1	0.5	0.3	77.3095238095
1	5	1	1	1	0.5	0.6	112.666666667
1	5	1	1	1	0.5	0.9	195.083333333
1	5	1	1	1	1	0	63.1666666667
1	5	1	1	1	1	0.3	77.3095238095
1	5	1	1	1	1	0.6	112.666666667
1	5	1	1	1	1	0.9	195.083333333
1	10	0	0	0	0	0	63.1666666667
1	10	0	0	0	0	0.3	77.3095238095
1	10	0	0	0	0	0.6	112.666666667
1	10	0	0	0	0	0.9	195.083333333
1	10	0	0	0	0.5	0	63.1666666667
1	10	0	0	0	0.5	0.3	77.3095238095
1	10	0	0	0	0.5	0.6	112.666666667
1	10	0	0	0	0.5	0.9	195.083333333
1	10	0	0	0	1	0	63.1666666667
1	10	0	0	0	1	0.3	77.3095238095
1	10	0	0	0	1	0.6	112.666666667
1	10	0	0	0	1	0.9	195.083333333
1	10	0	0	0.5	0	0	63.1666666667
1	10	0	0	0.5	0	0.3	77.3095238095
1	10	0	0	0.5	0	0.6	112.666666667
1	10	0	0	0.5	0	0.9	195.083333333
1	10	0	0	0.5	0.5	0	63.1666666667
1	10	0	0	0.5	0.5	0.3	77.3095238095
1	10	0	0	0.5	0.5	0.6	112.666666667
1	10	0	0	0.5	0.5	0.9	195.083333333
1	10	0	0	0.5	1	0	63.1666666667
1	10	0	0	0.5	1	0.3	77.3095238095
1	10	0	0	0.5	1	0.6	112.666666667
1	10	0	0	0.5	1	0.9	195.083333333
1	10	0	0	1	0	0	63.1666666667
1	10	0	0	1	0	0.3	77.3095238095
1	10	0	0	1	0	0.6	112.666666667
1	10	0	0	1	0	0.9	195.083333333
1	10	0	0	1	0.5	0	63.1666666667
1	10	0	0	1	0.5	0.3	77.3095238095
1	10	0	0	1	0.5	0.6	112.666666667
1	10	0	0	1	0.5	0.9	195.083333333
1	10	0	0	1	1	0	63.1666666667
1	10	0	0	1	1	0.3	77.3095238095
1	10	0	0	1	1	0.6	112.666666667
1	10	0	0	1	1	0.9	195.083333333
1	10	0	0.5	0	0	0	63.1666666667
1	10	0	0.5	0	0	0.3	77.3095238095
1	10	0	0.5	0	0	0.6	112.666666667
1	10	0	0.5	0	0	0.9	195.083333333
1	10	0	0.5	0	0.5	0	63.1666666667
1	10	0	0.5	0	0.5	0.3	77.3095238095
1	10	0	0.5	0	0.5	0.6	112.666666667
1	10	0	0.5	0	0.5	0.9	195.083333333
1	10	0	0.5	0	1	0	63.1666666667
1	10	0	0.5	0	1	0.3	77.3095238095
1	10	0	0.5	0	1	0.6	112.666666667
1	10	0	0.5	0	1	0.9	195.083333333
1	10	0	0.5	0.5	0	0	63.1666666667
1	10	0	0.5	0.5	0	0.3	77.3095238095
1	10	0	0.5	0.5	0	0.6	112.666666667
1	10	0	0.5	0.5	0	0.9	195.083333333
1	10	0	0.5	0.5	0.5	0	63.1666666667
1	10	0	0.5	0.5	0.5	0.3	77.3095238095
1	10	0	0.5	0.5	0.5	0.6	112.666666667
1	10	0	0.5	0.5	0.5	0.9	195.083333333
1	10	0	0.5	0.5	1	0	63.1666666667
1	10	0	0.5	0.5	1	0.3	77.3095238095
1	10	0	0.5	0.5	1	0.6	112.666666667
1	10	0	0.5	0.5	1	0.9	195.083333333
1	10	0	0.5	1	0	0	63.1666666667
1	10	0	0.5	1	0	0.3	77.3095238095
1	10	0	0.5	1	0	0.6	112.666666667
1	10	0	0.5	1	0	0.9	195.083333333
1	10	0	0.5	1	0.5	0	63.1666666667
1	10	0	0.5	1	0.5	0.3	77.3095238095
1	10	0	0.5	1	0.5	0.6	112.666666667
1	10	0	0.5	1	0.5	0.9	195.083333333
1	10	0	0.5	1	1	0	63.1666666667
1	10	0	0.5	1	1	0.3	77.3095238095
1	10	0	0.5	1	1	0.6	112.666666667
1	10	0	0.5	1	1	0.9	195.083333333
1	10	0	1	0	0	0	63.1666666667
1	10	0	1	0	0	0.3	77.3095238095
1	10	0	1	0	0	0.6	112.666666667
1	10	0	1	0	0	0.9	195.083333333
1	10	0	1	0	0.5	0	63.1666666667
1	10	0	1	0	0.5	0.3	77.3095238095
1	10	0	1	0	0.5	0.6	112.666666667
1	10	0	1	0	0.5	0.9	195.083333333
1	10	0	1	0	1	0	63.1666666667
1	10	0	1	0	1	0.3	77.3095238095
1	10	0	1	0	1	0.6	112.666666667
1	10	0	1	0	1	0.9	195.083333333
1	10	0	1	0.5	0	0	63.1666666667
1	10	0	1	0.5	0	0.3	77.3095238095
1	10	0	1	0.5	0	0.6	112.666666667
1	10	0	1	0.5	0	0.9	195.083333333
1	10	0	1	0.5	0.5	0	63.1666666667
1	10	0	1	0.5	0.5	0.3	77.3095238095
1	10	0	1	0.5	0.5	0.6	112.666666667
1	10	0	1	0.5	0.5	0.9	195.083333333
1	10	0	1	0.5	1	0	63.1666666667
1	10	0	1	0.5	1	0.3	77.3095238095
1	10	0	1	0.5	1	0.6	112.666666667
1	10	0	1	0.5	1	0.9	195.083333333
1	10	0	1	1	0	0	63.1666666667
1	10	0	1	1	0	0.3	77.3095238095
1	10	0	1	1	0	0.6	112.666666667
1	10	0	1	1	0	0.9	195.083333333
1	10	0	1	1	0.5	0	63.1666666667
1	10	0	1	1	0.5	0.3	77.3095238095
1	10	0	1	1	0.5	0.6	112.666666667
1	10	0	1	1	0.5	0.9	195.083333333
1	10	0	1	1	1	0	63.1666666667
1	10	0	1	1	1	0.3	77.3095238095
1	10	0	1	1	1	0.6	112.666666667
1	10	0	1	1	1	0.9	195.083333333
1	10	0.5	0	0	0	0	63.1666666667
1	10	0.5	0	0	0	0.3	77.3095238095
1	10	0.5	0	0	0	0.6	112.666666667
1	10	0.5	0	0	0	0.9	195.083333333
1	10	0.5	0	0	0.5	0	63.1666666667
1	10	0.5	0	0	0.5	0.3	77.3095238095
1	10	0.5	0	0	0.5	0.6	112.666666667
1	10	0.5	0	0	0.5	0.9	195.083333333
1	10	0.5	0	0	1	0	63.1666666667
1	10	0.5	0	0	1	0.3	77.3095238095
1	10	0.5	0	0	1	0.6	112.666666667
1	10	0.5	0	0	1	0.9	195.083333333
1	10	0.5	0	0.5	0	0	63.1666666667
1	10	0.5	0	0.5	0	0.3	77.3095238095
1	10	0.5	0	0.5	0	0.6	112.666666667
1	10	0.5	0	0.5	0	0.9	195.083333333
1	10	0.5	0	0.5	0.5	0	63.1666666667
1	10	0.5	0	0.5	0.5	0.3	77.3095238095
1	10	0.5	0	0.5	0.5	0.6	112.666666667
1	10	0.5	0	0.5	0.5	0.9	195.083333333
1	10	0.5	0	0.5	1	0	63.1666666667
1	10	0.5	0	0.5	1	0.3	77.3095238095
1	10	0.5	0	0.5	1	0.6	112.666666667
1	10	0.5	0	0.5	1	0.9	195.083333333
1	10	0.5	0	1	0	0	63.1666666667
1	10	0.5	0	1	0	0.3	77.3095238095
1	10	0.5	0	1	0	0.6	112.666666667
1	10	0.5	0	1	0	0.9	195.083333333
1	10	0.5	0	1	0.5	0	63.1666666667
1	10	0.5	0	1	0.5	0.3	77.3095238095
1	10	0.5	0	1	0.5	0.6	112.666666667
1	10	0.5	0	1	0.5	0.9	195.083333333
1	10	0.5	0	1	1	0	63.1666666667
1	10	0.5	0	1	1	0.3	77.3095238095
1	10	0.5	0	1	1	0.6	112.666666667
1	10	0.5	0	1	1	0.9	195.083333333
1	10	0.5	0.5	0	0	0	63.1666666667
1	10	0.5	0.5	0	0	0.3	77.3095238095
1	10	0.5	0.5	0	0	0.6	112.666666667
1	10	0.5	0.5	0	0	0.9	195.083333333
1	10	0.5	0.5	0	0.5	0	63.1666666667
1	10	0.5	0.5	0	0.5	0.3	77.3095238095
1	10	0.5	0.5	0	0.5	0.6	112.666666667
1	10	0.5	0.5	0	0.5	0.9	195.083333333
1	10	0.5	0.5	0	1	0	63.1666666667
1	10	0.5	0.5	0	1	0.3	77.3095238095
1	10	0.5	0.5	0	1	0.6	112.666666667
1	10	0.5	0.5	0	1	0.9	195.083333333
1	10	0.5	0.5	0.5	0	0	63.1666666667
1	10	0.5	0.5	0.5	0	0.3	77.3095238095
1	10	0.5	0.5	0.5	0	0.6	112.666666667
1	10	0.5	0.5	0.5	0	0.9	195.083333333
1	10	0.5	0.5	0.5	0.5	0	63.1666666667
1	10	0.5	0.5	0.5	0.5	0.3	77.3095238095
1	10	0.5	0.5	0.5	0.5	0.6	112.666666667
1	10	0.5	0.5	0.5	0.5	0.9	195.083333333
1	10	0.5	0.5	0.5	1	0	63.1666666667
1	10	0.5	0.5	0.5	1	0.3	77.3095238095
1	10	0.5	0.5	0.5	1	0.6	112.666666667
1	10	0.5	0.5	0.5	1	0.9	195.083333333
1	10	0.5	0.5	1	0	0	63.1666666667
1	10	0.5	0.5	1	0	0.3	77.3095238095
1	10	0.5	0.5	1	0	0.6	112.666666667
1	10	0.5	0.5	1	0	0.9	195.083333333
1	10	0.5	0.5	1	0.5	0	63.1666666667
1	10	0.5	0.5	1	0.5	0.3	77.3095238095
1	10	0.5	0.5	1	0.5	0.6	112.666666667
1	10	0.5	0.5	1	0.5	0.9	195.083333333
1	10	0.5	0.5	1	1	0	63.1666666667
1	10	0.5	0.5	1	1	0.3	77.3095238095
1	10	0.5	0.5	1	1	0.6	112.666666667
1	10	0.5	0.5	1	1	0.9	195.083333333
1	10	0.5	1	0	0	0	63.1666666667
1	10	0.5	1	0	0	0.3	77.3095238095
1	10	0.5	1	0	0	0.6	112.666666667
1	10	0.5	1	0	0	0.9	195.083333333
1	10	0.5	1	0	0.5	0	63.1666666667
1	10	0.5	1	0	0.5	0.3	77.3095238095
1	10	0.5	1	0	0.5	0.6	112.666666667
1	10	0.5	1	0	0.5	0.9	195.083333333
1	10	0.5	1	0	1	0	63.1666666667
1	10	0.5	1	0	1	0.3	77.3095238095
1	10	0.5	1	0	1	0.6	112.666666667
1	10	0.5	1	0	1	0.9	195.083333333
1	10	0.5	1	0.5	0	0	63.1666666667
1	10	0.5	1	0.5	0	0.3	77.3095238095
1	10	0.5	1	0.5	0	0.6	112.666666667
1	10	0.5	1	0.5	0	0.9	195.083333333
1	10	0.5	1	0.5	0.5	0	63.1666666667
1	10	0.5	1	0.5	0.5	0.3	77.3095238095
1	10	0.5	1	0.5	0.5	0.6	112.666666667
1	10	0.5	1	0.5	0.5	0.9	195.083333333
1	10	0.5	1	0.5	1	0	63.1666666667
1	10	0.5	1	0.5	1	0.3	77.3095238095
1	10	0.5	1	0.5	1	0.6	112.666666667
1	10	0.5	1	0.5	1	0.9	195.083333333
1	10	0.5	1	1	0	0	63.1666666667
1	10	0.5	1	1	0	0.3	77.3095238095
1	10	0.5	1	1	0	0.6	112.666666667
1	10	0.5	1	1	0	0.9	195.083333333
1	10	0.5	1	1	0.5	0	63.1666666667
1	10	0.5	1	1	0.5	0.3	77.3095238095
1	10	0.5	1	1	0.5	0.6	112.666666667
1	10	0.5	1	1	0.5	0.9	195.083333333
1	10	0.5	1	1	1	0	63.1666666667
1	10	0.5	1	1	1	0.3	77.3095238095
1	10	0.5	1	1	1	0.6	112.666666667
1	10	0.5	1	1	1	0.9	195.083333333
1	10	1	0	0	0	0	63.1666666667
1	10	1	0	0	0	0.3	77.3095238095
1	10	1	0	0	0	0.6	112.666666667
1	10	1	0	0	0	0.9	195.083333333
1	10	1	0	0	0.5	0	63.1666666667
1	10	1	0	0	0.5	0.3	77.3095238095
1	10	1	0	0	0.5	0.6	112.666666667
1	10	1	0	0	0.5	0.9	195.083333333
1	10	1	0	0	1	0	63.1666666667
1	10	1	0	0	1	0.3	77.3095238095
1	10	1	0	0	1	0.6	112.666666667
1	10	1	0	0	1	0.9	195.083333333
1	10	1	0	0.5	0	0	63.1666666667
1	10	1	0	0.5	0	0.3	77.3095238095
1	10	1	0	0.5	0	0.6	112.666666667
1	10	1	0	0.5	0	0.9	195.083333333
1	10	1	0	0.5	0.5	0	63.1666666667
1	10	1	0	0.5	0.5	0.3	77.3095238095
1	10	1	0	0.5	0.5	0.6	112.666666667
1	10	1	0	0.5	0.5	0.9	195.083333333
1	10	1	0	0.5	1	0	63.1666666667
